Polski,Deutsch
poeta,der Dichter
nie możgą obejść się bez,kommen nicht ohne X aus
populacja,der Bevölkerung
dziwaczny,skurril
ma,verfügen über
nawet,sogar
pożerać,verschlingen
dziwny,seltsam
odrzucić,ablehnen
wydawnictwo,der Verlag
pisarz,der Schriftsteller
oceniać,beurteilen
bohater opowieści,der Romanheld
porady,der Ratschlag
powierzchnia morza,die Meeresoberfläche
tajemnica,das Geheimnis
jak odnieść sukces,wie man erfolgreich wird
pobieżnie,flüchtig
pobieżne czytanie,kursorisches Lesen
skimming,Querlesen
specjalność,das Fachgebiet
esej,der Aufsatz
radio,der Rundfunk
pisać o,schrieben über
zapinać,anschnallen
kara,die Strafe
tędy / tutaj,hierher
na marne / na gapę,umsonst
pilny / pracowity,fleißig
zdenerwowany,aufgeregt
zdać,bestehen
eliminować / usuwać,beseitigen
odgrywać / wystawiać,aufführen
przyjąć (w gości),empfangen
przerwać,abbrechen
dokonać otwarcia,einweihen
zwolnić z pracy,entlassen
zablokować,sperren
złodzieje diamentów,Diamantendiebe
zwiększa się,zunehmen
zamiatać,kehren
zmywać,abwaschen
umywalka,das Waschbecken
malować,streichen
brudne naczynia,das Geschirr
ubierać,anziehen
zdenerwować się,aufregen
uspokoić się,beruhigen
zająć się,beschäftigen
przypomnieć,erinnern
bać się,fürchten
pożegnać,verabschieden
zranić,verletzen
spieszyć się,beeilen
porozumieć się,einigen
dowiedzieć się,erkundigen
pomylić się,irren
kłócić się,streiten
umówić się,verabreden
odmawiać,verweigern
odpoczywać,erholen
nawyk,die Gewohnheit
przejąć kontrolę,übernehmen die Macht
dopasować / stroić,abstimmen
przyglądać się,zuschauen
