Polski,Deutsch
zachowania konsumentów,das Konsumverhalten
wydarzenia sportowe,die Sportveranstaltungen
transmisje sportowe,die Sportübertragungen
reklama,die Werbung
środek (np. przekazu),die Maßnahme
promocja sprzedaży,die Absatzförderung
obejmować,umfassen
rzeczywiście/faktycznie,tatsächlich
należą do nich,dazu zählen
bilboard,die Werbetafel
szczekacz,der Marktschreier
wreszcie,endlich
rozpowszechnienie,die Verbreitung
medium,das Medium
nawet,sogar
wprowadzenie,die Einführung
ogłoszenie reklamowe,die Werbeanzeige
zmienić,verändern
warstwa społeczna,soziale Schicht
celować/kierować,richten
powstać/nabywać,erstehen
powstać/narodzić się,entstehen
przedsiębiorstwo,das Unternehmen
ustanowić/otworzyć,etablieren
koniecznie/absolutnie,unbedingt
przekonywać,überzeugen
iluzoryczny świat,die Scheinwelt
wiązać/połączyć,verbunden
wykonywanie/spełnienie,die Erfüllung
spełnić się,in Erfüllung gehen
przełom wieków,die Jahrhundertwende
taśma klejąca,der Klebestreifen
chusteczka higieniczna,das Stofftaschentuch
oferować,anbieten
próbować/usiłować,versuchen
istnieć/składać się,bestehen
nagroda/wyróżnienie,die Auszeichnung
szlachetny,edel
kaczątko,das Entlein
wydajność/osiągnięcie,die Leistung
złość,der Ärger
najbliżsi,die Verwandte
